Position_cm,X_CO2,U_X_CO2,X_H2,U_X_H2,X_H2O,U_X_H2O,X_Ar,U_X_Ar,X_O2,U_X_O2,X_Propane,U_X_Propane,X_Methanol,U_X_Methanol,X_N2,U_X_N2,X_Ethanol,U_X_Ethanol,X_CH4,U_X_CH4,X_Acetone,U_X_Acetone,X_CO,U_X_CO,X_Acetylene,U_X_Acetylene,X_Benzene,U_X_Benzene,X_Ethane,U_X_Ethane,X_Ethylene,U_X_Ethylene,Y_Soot,U_Y_Soot,X_HC,U_X_HC,Temperature_K,U_Temperature_K,Corrected_Temperature_K,U_Corrected_Temperature_K
 1,0.0463,0.0056,0.0559,0.0044,0.1654,0.0340,0.0046,0.0004,0.0182,0.0017,0.0000,0.0000,0.2400,0.0604,0.4034,0.0243,0.0000,0.0000,0.0007140,0.0000577,0.0000,0.0000,0.06087,0.00372,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.29663,0.06053,1019.0,434.1,1026.5,535.5
 2,0.0497,0.0066,0.0601,0.0087,0.1838,0.0486,0.0048,0.0008,0.0164,0.0096,0.0000,0.0000,0.1854,0.0964,0.4241,0.0586,0.0000,0.0000,0.0008002,0.0001293,0.0000,0.0000,0.07024,0.00921,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.24629,0.09682,1111.6,425.2,1122.1,529.3
 4,0.0575,0.0066,0.0466,0.0069,0.1765,0.0547,0.0060,0.0007,0.0343,0.0087,0.0000,0.0000,0.0823,0.0317,0.5303,0.0407,0.0000,0.0000,0.0005996,0.0000776,0.0000,0.0000,0.06115,0.00770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.12951,0.03246,1248.9,409.4,1265.5,506.3
 6,0.0589,0.0036,0.0334,0.0043,0.1710,0.0419,0.0067,0.0007,0.0517,0.0055,0.0000,0.0000,0.0409,0.0134,0.5873,0.0318,0.0000,0.0000,0.0004027,0.0000874,0.0000,0.0000,0.04516,0.00399,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.07467,0.01406,1284.0,366.3,1301.9,459.4
10,0.0528,0.0034,0.0181,0.0050,0.1494,0.0427,0.0072,0.0007,0.0840,0.0089,0.0000,0.0000,0.0219,0.0127,0.6365,0.0336,0.0000,0.0000,0.0002254,0.0000688,0.0000,0.0000,0.02534,0.00585,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.04022,0.01366,1302.2,379.5,1321.3,466.4
14,0.0523,0.0041,0.0111,0.0008,0.1203,0.0307,0.0078,0.0006,0.1021,0.0084,0.0000,0.0000,0.0026,0.0009,0.6811,0.0226,0.0000,0.0000,0.0001376,0.0000072,0.0000,0.0000,0.01788,0.00213,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.01388,0.00121,1258.0,365.2,1274.3,452.8
20,0.0380,0.0014,0.0022,0.0002,0.0713,0.0146,0.0084,0.0006,0.1374,0.0038,0.0000,0.0000,0.0003,0.0002,0.7344,0.0172,0.0000,0.0000,0.0000248,0.0000032,0.0000,0.0000,0.00322,0.00023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.00255,0.00029,1102.0,400.9,1111.9,497.1
30,0.0259,0.0006,0.0000,0.0000,0.0474,0.0099,0.0085,0.0006,0.1615,0.0032,0.0000,0.0000,0.0005,0.0001,0.7508,0.0127,0.0000,0.0000,0.0000048,0.0000002,0.0000,0.0000,0.00065,0.00001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.00052,0.00005, 850.5,386.3, 853.6,486.5
60,0.0095,0.0002,0.0000,0.0000,0.0144,0.0036,0.0088,0.0006,0.1926,0.0034,0.0000,0.0000,0.0000,0.0000,0.7701,0.0111,0.0000,0.0000,0.0000000,0.0000000,0.0000,0.0000,0.00000,0.00000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.00000,0.00000, 495.3,183.0, 495.3,226.2
